smile with moustache and beard, :-{)} ,,,,
smiley classic ,:-) ,,,,
smiley variation, (:-) ,,,,
smiling blockhead, :-] ,,,,
smirk,":-,",,,,
smoker, :-p~ ,,,,
smoker, :-d~ ,,,,
smoker, :-Q  ,,,,
smoking, :-Q~ ,,,,
snake, ~~~~8} ,,,,
snake, ~~~~~8} ,,,,
snake, =====:} ,,,,
sniffles, :-\'| ,,,,
snoring, |^o ,,,,
snuffed candle (ends a flame message), -= ,,,,
speak no evil, :-m ,,,,
sponge bob, 8\'B ,,,,
square head, [:-] ,,,,
sticking out tongue, :-f ,,,,
sticking out tongue, :p ,,,,
sticking out tongue, :-p ,,,,
sticking out tongue, :-p ,,,,
sticking out tongue, :-r ,,,,
surprised, = O ,,,,
surprised, :-O,,,,
tear, :`-( ,,,,
tear of happiness, :\'-) ,,,,
thinking about money, $-) ,,,,
this rocks \m/ ,,,,,
to be or not to be, 2B|^2B ,,,,
toilet,"l,lO ",,,,
tongue hanging out in disgust, :-Q ,,,,
tongue in cheek, -) ,,,,
tongue in cheek, :-J ,,,,
tongue in cheek, :-? ,,,,
tongue-tied, :-& ,,,,
unhappy, :-c ,,,,
unsmiley, :-t ,,,,
unsmiley, (:- ,,,,
unsmiley, (:-( ,,,,
unsmiling, :-[ ,,,,
US Flag, **== ,,,,
very sad, :-< ,,,,
wearing a walkman, [:-) ,,,,
wears glasses, 8) ,,,,
wears glasses, 8-) ,,,,
weeping, ;-( ,,,,
what?, :> ,,,,
what?, :@ ,,,,
what?!, :-s ,,,,
wide-eyed, 8),,,,
wide-eyed, 8-) ,,,,
wide-eyed surprised, 8-| ,,,,
wink, ; ) ,,,,
wink with a raspberry, ; p ,,,,
winkey, ;-) ,,,,
winking and laughing, ;-D ,,,,
winky, \') ,,,,
winky, \'-) ,,,,
wizard, -=#:-) ,,,,
wizard, 8 :-) ,,,,
worked late, %-| ,,,,
wow!, 8-] ,,,,
wry face ,:-/ ,,,,
wry smile, :-i ,,,,
wry smile, }-) ,,,, 
yawn, :-o , ,,,
yawn, |-O ,,,,
yuck, >=^ p ,,,,
yuck!, 8-p ,,,,
