,Clown,:O),
,clowning,:*),
,Coffee Cup,(c),
,Cold Stare,?_?,
,Colonel Klink,P-),
,Comb Stuck in the Hair,$:-),
,Comedy,:-),
,Computer,(co),
,Concentrating,:-r,
,Condescending stare,:-8(,
,Confused,O.o,
,Confused,%),
,Confused,%-),
,Confused,(@_@),
,Confused,:s,
,Confused,:-S,
,Confused,:-Q,
,Confused,:-$,
,Confused,:-/,
,Confusion,:-S,
,Cool,B-),
,Count Dracula,:-{,
,cow,3:08 AM,
,Cow,3:-O,
,Cowbell,+/'\,
,Cowboy,<):),
,Cowboy,<):-),
,Cowboy,}:-),
,Cowgirl,{:-),
,Crab,V.v.V,
,Crazy,%-),
,cross,:-t,
,Cross-Eyed,H-),
,cross-eyed,%-),
,Crying,T_T,
,Crying,T^T,
,Crying,QQ,
,crying,&.(..,
,crying,(;_;),
,Crying,:'(,
,crying,:',
,crying,:'-(,
,Crying,:*(,
,crying,:*-(,
,Crying,:((,
,Crying,:..[,
,Crying,:_ (,
,Crying,:`-(,
,Crying,;_;,
,crying sadly,:'-(,
,Crying Softly,:*(,
,crying with happiness,:'-),
,crying with joy,:'-),
,Cup,|_|,
,Cup of Coffee,C(_),
,Cup of Coffee,~o),
,Cup of Coffee,|_P,
,curly hair,&:-),
,Curly Hair,@:-),
,Cursing,:-@!,
,Cyclops,o-),
,Cyclops,O-(,
,Cyclops,0-),
,Cyclops got poked in the eye,*-(,
,Dancing,<(..<),
,Dancing,\\:D/,
,Dancing,(>..)>,
,Dancing,^(. .)^,
,Darth Vader,C8<],
,Davey Crockett,Q:|,
,Daydreaming,8->,
,Dazed,*-*,
,Death,8-#,
,Deja Vu,:-| :-|,
,"delicious, yummy",:-9,
,Despondent,:-[,
,Devil,>:),
,Devil,>:-),
,Devil,}=^{|~,
,Devil,}:-),
,Devil,]:->,
,Devil,()}:o),
,Devil,-6,
,Devilish,>:->,
,devilish,}:->,
,devilish,:->,
,Devilish Grin,:>,
,devilish wink,;->,
,Dinosaur,/\,
,Disappointed,:|,
,Disappointed,:(&,
,Disappointed,:-E,
,Disappointed,:-|,
,disappointed smiley,:-e,
,Disgusted,DX,
,Distraught,/:(,
,Dizzy,%-},
,DJ,d[-_-]b,
,DJ,[:-},
,DJ wearing head phones,d^_^b,
,Do Not Tell Anyone,:-$,
,Do Not Tell Anyone,:-#,
,Dog,"<[.,=.,]-",
,Dog,:O$,
,Dog,:O\',
,Dog,:O/,
,Dog,:O),
,Dog,:O?,
,Dog,:3-<,
,Dog,:3-],
,Dog Bone,8==3,
,Dog bone,&===3,
,Dog Face,(&),
,Doh,(>.<),
,Doh!,#-o,
,Dolly Parton,:-) 8,
,Donald Trump,:$),
,double chin,:-)),
,Dracula,}:-(=,
,Drama,:-(,
,Dressed To Kill,(:-|K-,
,drink,\_/,
,Drink,*DRINK*,
,Drinking Every Night,:*),
,drooler,:-). . .,
,Drooling,*DROOLING*,
,Drooling,:P,
,Drooling,:-P,
,drooling,:-)~,
,Drooling (sees food),:-P```,
,Drooling Out Of Both Sides Of Mouth,:-B,
,drunk,:~),
,Drunk,:#),
,drunk,:*),
,drunk,:-},
,drunk smile,:*),
,drunk with laughter,%-,
,Duck,./,
,Dumb Person,8),
,Dumb Question,<:-),
,dumb questions,<:-),
,Dunce,<:I,
,dunce,<:-),
,Dunce,<:-(,
,dunce,,
,E-mail,(e),
,Eeek!,<:-0,
,Egghead,(:I,
,Elephant,:~,
,Elvis,2:),
,Elvis,@=),
,Elvis Presley,5:-),
,"Elvis, curly hair",&:-/,
,Embarrased,":"")",
,Embarrassed,:$,
,Embarrassed,:-$,
,Embarrassed,:-[,
,Embarrassed Smile,:-},
,Emo,T-T,
,Emo,//_^,
,Emo,(//.^),
,Emo,(//_^),
,Enjoying The Sun,0|-),
,Evil,>:),
,Evil Face,(.\|/.),
,Evil Grin,>-),
,Excited,:-O,
,exclamation,:@,
,Exhausted,#-),
,"exhausted, wiped out",:-6,
,extremely angry,:-@,
,Eye-Rolling,8-),
,Eyebrows,}=D,
,Eyeglasses,-@--@-,
,Eyepatch,# -,
,Falcon Punch,(p ^^)=====O,
,Fancy Hair,?:-),
,Fangs,"o,..,o",
,Fangs,"^,..,^",
,Female,>-,
,Fighting,/ | | |,
,Filmstrip,(~),
,Fingers Crossed,(yn),
,Fish,"><((("">",
,Fish,<><,
,Fish,<*))))><,
,Fish,<((((><,
,Fish,"<"")))><",
,Fish,<.{{{><,
,Fish,}-(((*>,
,Fish,{}{,
,Flirty,;-),
,Flower,@>--;--,
,Flower,@>---,
,Foot in Mouth,:-!,
,Football,(),
,Football Helmet,G:-),
,Four Leaf Clover,%%-,
,Fred Flintstone,7:-),
,Frenchman With A Beret,/:-),
,Friends,   ,
,Frog,8)~~*,
,frog,8),
,Frog,<? ?>,
,frog,:(?),
,Frosty Mug,[II]D,
,Frown,:(,
,Frown,:-(,
,frowning,(:-(,
,Frowning,:-<,
,Frowning,:-(,
,Frowning Smiley With Hair,):-(,
,Frustrated,X[,
,Frustrated,><,
,Frustrated,://,
,Frustrated,:-P,
,Frustrated,:-/,
,full glass,\~/,
,Fuzzy Face,*:*,
,Gag me,: 0=/--,
,Galloping Gourmet,8=:-),
,gasp,:O,
,George Washington,4:-),
,Get Lost,:-%,
,getting fresh,P-),
,Getting Rained On,~~:-(,
,Gift with a Bow,(g),
,Giggling,*GIGGLING*,
,Giraffe,>:o===Q<,
,Girl,8:^),
,Girl,(x),
,glass empty,\_/,
,Glasses,8-),
,Glasses,??,
,Glasses,-o-o-,
,Glasses And A Half Mustache,8*),
,Glasses on forehead,8:-),
,Goat,(nah),
,Goatee,:-{>,
,Goatee,:-)>,
,Going To Sleep,|-|,
,Golf Club and Ball,o/,
,goofy smile or wearing glasses,8-),
,gorilla,8:],
,Gorilla,%:O,
,Gorilla,:8],
,Grateful Dead,(~};),
,Great! I Like It!,":^D""",
,Greedy,$_$,
,grin,:-D,
,Grin,:->,
,Grinning And Sticking Tongue Out,:O,
,Guitar,(____),
,Guy with a Toupee,$8(),
,Hair In A Mess,#:-),
,"hair parted in middle, toupee",{:-),
,hair parted in the middle,{:-),
,Hair Parted In The Middle Sticking Up On Sides,}:-),
,Halloween pumpkin,(^:^),
,ham radio operator,E:-),
,ham radio operator,E-:-),
,Handcuffs,(%),
,Handlebar Mustache,:-3,
,Handlebar Mustache,:-}),
,Handsome,&:-],
,Happy,U,
,Happy,|___|,
,Happy,:),
,happy,:->,
,Happy,:-),
,Happy,^.^,
,Happy,^?^,
,Happy,^-^,
,happy, :-),
,happy cow,3:8),
,Happy Drunk,%-),
,happy pig,:@),
,Harry Potter,<~8),
,Harry Potter Snitch,>O<,
,Harry Potter Wand,/* *,
,Has A Dimple,:-',
,Has Braces,:-#,
,has goatee/beard,:-)},
,has mohawk,-:-),
,has two noses,:=),
,hat salesman,<<<<(:,
,hat salesman,<<<<(:-),
,Hats Off To Your Great Idea,D:-),
,Have A Cold,:-`|,
,have an ordinary day Emoticon,:-|,
,Headache,(({..})),
,Heart,<u3,
,Heart,<3,
,Heart-broken,(:-...,
,Heavy Eyebrows,|:-),
,heavy lipstick,:-{},
,Hee hee,|-),
,Hee-hee,|-),
,Hey,:->,
,Hey hey,:->,
,High Five,(h5),
,high five,^5,
,Hmm,:-I,
,Hmmm,:-|,
,Hmmm,:-\,
,Hmmm,:-/,
,Hmmmm,":-,",
,Ho ho,|-D,
,Hockey Stick and Puck,L.,
,Hollywood,8-),
,Homer,(8-(1),
,Homer,(_8^(|),
,hooters,( o ) ( o ),
,Horn-rims,B-),
,Horror,[_],
,Hot,(h),
,Hug,{ },
,hug,((((name)))),
,Hug,(:)\/<,
,Hug,:)X,
,Huge,<(^.^<),
,Huggle,<(*.*<),
,Hugs,((())),
,Hugs,:D<,
,Hugs and Kisses,{{{***}}},
,hugs and kisses,(()):**,
,Humor (or smiley),:-),
,Hung Over,%*@:-(,
,hungover,%-\,
,Hungry,:0,
,Hyper,XD,
,Hypnotized,@-),
,I Am A Skater Or I Like To Skate,O[-<]:,
,I Am A Vampire!,:[,
,I Am Bald,((:-/,
,I Am Crying,:'-(,
,I Am Rich!,?$?:-),
,I Am Spitting Mad,>;-(',
,I Do Not Know,:^),
,I Have An Innie Belly Button,:-) .,
,I Have An Outie Belly Button,":-) ,",
,I Have Tangled Hair,#;-),
,I Love You,<3,
,I’m Disappointed,:-E,
,I’m Hurt By That,:+(,
,I’m Sleepy,(-.-)ZZZ,
,I’m So Happy I’m Crying,:'-),
,I’m Tipsy,:*),
,I’m Tipsy But Happy,%-),
,I’m Wearing Glasses,B-),
,Ice Cream Cone,~oO>,
,Ichthus,<><,
,ill,(:-$,
,IM,*red+u,
,IM,*help,
,In a Nut Shell,(@),
,In Love,*IN LOVE*,
,In Love,(*_*),
,In Love,:-X,
,Inadequate,._.,
,Incoherent,:-S,
,Indecisive,:7/,
,indifferent,:-I,
,Indifferent,:-|,
,Infinity,8,
,Innocent,O:-),
,Irritated,%7<,
,Irritated,?_?,
,Island with a Palm Tree,(ip),
,Jim Carrey,?:^[],
,Jimmy Durante,:###),
,Joe Cool,8-),
,John Lennon,//o-o\\,
,John Lennon,(8 {,
,John Travolta With ‘Grease’ Quiff,@:-),
,Joking,X-p,
,Jokingly,*JOKINGLY*,
,Jovial,:-],
,just ate a hot pepper,8-*,
,Just Back From Hairdresser,@:-},
,Keeping A Straight Face,:-T,
,Kid Smiley,:-X,
,King,\VVV/,
,King,\$$$/,
,Kirby,<('.'<),
,Kirby,<(^.^)>,
,Kirby,<( '.' <),
,Kirby,<( '.' )>,
,Kirby,(>'.')>,
,Kiss,=,
,Kiss,*,
,Kiss,:*),
,Kiss,:-*,
,Kiss,:-)*,
,Kiss,;-(!),
,Kiss My Butt,(_X_),
,Kissed,*KISSED*,
,kisses,:*,
,Kisses,:}{:,
,Kissing,*KISSING*,
,Kissing,(}{),
,kissing,(:-*,
,Kissing,( '}~{' ),
,Kissing,( '}{' ),
,Kissing,:pd:,
,Kitty,:3,
